Timestamp,total-bitcoins
2020-10-27 18:12:20,18527962.5
2020-11-01 04:03:51,18530956.25
2020-11-04 21:07:34,18533956.25
2020-11-08 02:24:18,18536987.5
2020-11-14 10:45:08,18543012.5
2020-11-17 14:22:17,18546012.5
2020-11-20 15:53:03,18549018.75
2020-11-23 13:04:47,18552018.75
2020-11-26 19:10:08,18555018.75
2020-11-29 23:52:32,18558031.25
2020-12-03 12:12:42,18561031.25
2020-12-06 22:00:20,18564031.25
2020-12-10 07:18:13,18567043.75
2020-12-13 17:02:14,18570056.25
2020-12-17 02:04:57,18573062.5
2020-12-20 06:11:41,18576068.75
2021-01-02 05:24:02,18588087.5
2021-01-05 04:55:02,18591106.25
2021-01-08 01:22:15,18594106.25
2021-01-11 07:11:34,18597112.5
2021-01-14 10:13:05,18600112.5
2021-01-17 20:07:44,18603131.25
2021-01-21 04:58:17,18606137.5
2021-01-24 12:21:48,18609137.5
2021-01-27 19:37:59,18612143.75
2021-01-31 03:36:56,18615143.75
2021-02-06 13:16:40,18621162.5
2021-02-09 15:41:45,18624168.75
2021-02-13 02:57:06,18627206.25
2021-02-16 10:37:51,18630206.25
2021-02-19 20:07:37,18633212.5
2021-02-23 06:59:29,18636218.75
2021-02-26 13:22:22,18639231.25
2021-03-05 08:59:50,18645237.5
2021-03-08 13:31:01,18648231.25
2021-03-15 03:15:41,18654218.75
2021-03-24 16:16:19,18663237.5
2021-03-31 02:42:01,18669256.25
2021-04-16 12:45:40,18684268.75
2021-04-20 23:56:48,18687287.5
2021-04-24 17:51:23,18690281.25
2021-04-28 05:52:40,18693281.25
2021-05-01 19:50:45,18696293.75
2021-05-04 12:19:32,18699293.75
2021-05-07 08:22:27,18702293.75
2021-05-10 01:07:41,18705306.25
2021-05-20 08:05:07,18714306.25
2021-05-28 08:29:07,18720293.75
2021-06-01 01:50:20,18723293.75
2021-06-04 07:20:16,18726293.75
2021-06-07 18:10:43,18729306.25
2021-06-11 14:14:17,18732312.5
2021-06-15 07:25:15,18735331.25
2021-06-29 01:04:52,18744318.75
2021-07-03 23:59:43,18747312.5
2021-07-07 16:44:26,18750306.25
2021-07-11 03:55:49,18753306.25
2021-07-14 15:49:00,18756312.5
2021-07-17 23:33:00,18759312.5
2021-07-21 06:33:06,18762312.5
2021-07-24 14:40:40,18765318.75
2021-07-27 16:16:41,18768312.5
2021-07-30 15:02:10,18771318.75
2021-08-02 18:22:41,18774318.75
2021-08-05 20:47:37,18777318.75
2021-08-08 19:27:02,18780312.5
2021-08-11 22:28:13,18783312.5
2021-08-15 01:48:52,18786306.25
2021-08-17 21:33:27,18789312.5
2021-08-21 01:34:36,18792306.25
2021-08-23 19:34:22,18795306.25
2021-08-26 21:24:16,18798312.5
2021-08-30 02:42:03,18801312.5
2021-09-02 12:36:59,18804306.25
2021-09-08 17:18:39,18810312.5
2021-09-12 02:04:49,18813306.25
2021-09-15 03:49:44,18816312.5
2021-09-18 12:00:19,18819318.75
2021-09-21 14:37:55,18822312.5
2021-09-24 22:46:04,18825306.25
2021-09-28 05:23:14,18828312.5
2021-10-01 09:22:27,18831306.25
2021-10-07 15:37:52,18837293.75
2021-10-10 23:23:45,18840287.5
2021-10-14 04:39:45,18843281.25
2021-10-17 13:56:04,18846293.75
2021-10-20 17:51:08,18849287.5
2021-10-23 22:04:18,18852287.5
2021-10-26 21:35:16,18855293.75
2021-11-02 03:53:07,18861293.75
2021-11-05 07:12:27,18864287.5
2021-11-08 09:22:14,18867287.5
2021-11-11 14:38:58,18870281.25
2021-11-14 20:13:31,18873293.75
2021-11-24 19:44:30,18882306.25
2021-12-01 20:08:08,18888293.75
2021-12-04 20:13:32,18891293.75
2021-12-07 19:30:10,18894287.5
2021-12-10 18:58:34,18897281.25
2021-12-17 12:59:17,18903268.75
2021-12-20 21:38:27,18906268.75
2021-12-30 22:29:50,18915268.75
2022-01-02 22:59:27,18918268.75
2022-01-06 06:04:47,18921262.5
2022-01-09 14:38:47,18924256.25
2022-01-15 18:03:35,18930243.75
2022-01-18 18:56:03,18933237.5
2022-01-21 19:08:52,18936256.25
2022-01-25 04:26:21,18939256.25
2022-01-28 13:50:51,18942256.25
2022-01-31 20:57:34,18945256.25
2022-02-04 01:29:20,18948256.25
2022-02-10 21:41:49,18954256.25
2022-02-13 21:42:31,18957256.25
2022-02-16 19:30:47,18960256.25
2022-02-23 11:31:19,18966256.25
2022-03-02 07:11:26,18972268.75
2022-03-05 19:58:10,18975268.75
2022-03-09 05:46:21,18978262.5
2022-03-12 14:04:51,18981262.5
2022-03-15 19:42:10,18984268.75
2022-03-18 23:17:07,18987268.75
2022-03-22 01:49:54,18990262.5
2022-03-25 08:50:24,18993256.25
2022-03-28 14:29:31,18996262.5
2022-03-31 21:39:30,18999256.25

